tai30a.dat 549198 1.942 610403 16.06392192840576
tai30a.dat 602480 1.931 539980 16.014668226242065
tai30a.dat 566858 1.933 497590 15.871162414550781
tai80a.dat 4115396 20.981 3808357 979.7572205066681
tai80a.dat 3699436 21.008 3690140 975.9232938289642
tai80a.dat 3724183 21.032 3785161 842.1837165355682
tai40b.dat 65182140 4.151 94396736 32.607932329177856
tai40b.dat 66291414 4.131 77352779 26.20885705947876
tai40b.dat 64935561 4.161 89266047 25.703592777252197
tai40a.dat 768654 4.169 963597 52.899739027023315
tai40a.dat 925642 4.191 783099 53.09220910072327
tai40a.dat 911826 4.164 917546 53.258707761764526
tai64c.dat 442842 14.369 339583 37.068235635757446
tai64c.dat 461907 14.295 453680 36.69042491912842
tai64c.dat 320009 14.363 419572 37.15246844291687
tai50b.dat 82259022 12.468 86132049 59.799856424331665
tai50b.dat 85633668 12.538 75063476 59.57973623275757
tai50b.dat 101683613 12.53 92364318 60.56595468521118
tai60b.dat 134186426 13.64 148651291 122.83051657676697
tai60b.dat 136891534 13.622 151934917 124.15460681915283
tai60b.dat 133918492 13.552 94732350 120.0797119140625
sko90.dat 35152 22.963 35549 1154.5948305130005
sko90.dat 30416 22.993 37759 1069.6617243289948
sko90.dat 28323 22.837 30158 1109.7435510158539
tai50a.dat 1601582 12.556 1533930 129.42386937141418
tai50a.dat 1362269 12.579 1196927 126.21962928771973
tai50a.dat 1397674 12.62 1478063 124.12195801734924
sko72.dat 15285 19.328 19478 412.0038652420044
sko72.dat 17983 19.362 17024 385.6629364490509
sko72.dat 16820 19.265 21244 380.37740182876587
sko49.dat 7237 12.298 8146 86.15806603431702
sko49.dat 6045 12.275 6856 85.4907066822052
sko49.dat 7148 12.273 6214 85.99740958213806
sko42.dat 4315 4.43 4921 47.200605154037476
sko42.dat 4818 4.423 4581 46.64716553688049
sko42.dat 3322 4.41 5343 46.63551950454712
sko64.dat 15178 14.306 17617 249.31005859375
sko64.dat 12856 14.287 13589 257.0135238170624
sko64.dat 14101 14.3 14586 240.74126505851746
tai35b.dat 28903573 3.739 47372882 15.970855951309204
tai35b.dat 63931923 3.764 57937778 14.244312763214111
tai35b.dat 46154370 3.749 57495242 14.191362857818604
tai60a.dat 1919435 13.548 2110694 276.74100136756897
tai60a.dat 2214169 13.562 2298679 254.0531632900238
tai60a.dat 2367078 13.554 2084968 278.5158853530884
sko56.dat 10049 12.943 12319 140.57482886314392
sko56.dat 9887 12.937 10704 147.37314534187317
sko56.dat 8975 12.993 9926 147.24403929710388
tai35a.dat 719213 3.788 637501 30.590279579162598
tai35a.dat 795668 3.784 676767 29.873666286468506
tai35a.dat 690572 3.791 838065 29.671297073364258
sko81.dat 28318 21.442 29730 717.5961589813232
sko81.dat 26269 21.407 23325 597.0518987178802
sko81.dat 23066 21.48 26760 610.5840005874634
tai30b.dat 33863961 1.913 76693067 8.690861940383911
tai30b.dat 52857792 1.925 59137113 8.559752225875854
tai30b.dat 51752756 1.907 32694798 8.664517879486084
tai80b.dat 164280265 21.096 207648381 394.49444818496704
tai80b.dat 139853952 21.038 189050368 387.35413551330566
tai80b.dat 181626722 21.025 162634744 382.0767734050751
